id,start,first_token,end,status
cb5b861d-2fb2-472e-bc9d-528252918cbd,48324.578,48325.015,48332.156,200
84577e37-5ad6-4223-8749-9477ab4919c9,48332.156,48332.531,48335.562,200
a0d04074-2242-4c5e-9393-c189f5db364d,48335.578,48335.906,48344.484,200
7e254dcb-1e57-438b-89ce-90eb6c20e381,48344.5,48344.796,48353.953,200
2c8a9cb8-8f43-4706-aa86-babf7c300531,48353.953,48354.265,48363.468,200
e3c0bf22-49bf-449f-b0fe-6847b0dc85fa,48363.468,48363.765,48373.031,200
a3212567-88f7-4fdd-b0df-44ad0633ee35,48373.031,48373.375,48382.25,200
99a1935c-2a8d-4c74-9ec4-2e1a05041803,48382.265,48382.609,48391.89,200
33908c44-d23a-426e-84da-a180071b8337,48391.89,48392.218,48401.546,200
c6efaf5a-7362-4219-ada2-5226e64b38d3,48401.546,48401.875,48411.328,200
0b858d7b-df51-47a1-97f6-80e7803ce972,48324.562,48325.015,48333.875,200
fa3be5a1-aaa4-4d1d-9d39-1c125eb75a8e,48333.906,48334.343,48343.593,200
5ce84df9-7202-4a85-99fa-fb9199dbe092,48343.609,48344.062,48353.578,200
f90cf320-a3b7-468b-a386-2e82fb8cc41c,48353.609,48354.031,48363.296,200
f9252b20-e3e4-422c-926f-8ad98a5fe3de,48363.312,48363.64,48372.906,200
611ac4f7-e0af-48ae-9e35-0d6417b150e6,48372.921,48373.25,48382.765,200
d396dfdb-24f3-4d87-b7d7-b1fb56642bec,48382.781,48383.093,48390.14,200
e07138c9-0763-4c35-b1e8-c59747efd7d7,48390.156,48390.484,48399.875,200
7776692b-5d0b-4d90-8fc6-c1ba7cc8612b,48399.875,48400.203,48406.296,200
20cea8ca-ef77-4935-9f33-bde268a05e39,48406.296,48406.656,48411.312,200
8656dbf0-5390-41a6-a863-8207ce70e41e,48324.562,48325.015,48333.875,200
3f88587f-dbe8-4393-8236-fe31868163da,48333.906,48334.343,48343.578,200
9cb858eb-7e30-4d12-b2e2-8b1129d0724d,48343.609,48344.062,48352.218,200
2e147063-cd85-44ea-acc8-3df9939f60ea,48352.218,48352.562,48361.062,200
db214c9f-96f1-48dc-be03-2aa4537122a2,48361.062,48361.39,48370.359,200
a07c1102-d9e1-4411-b851-2ee88812d8bf,48370.359,48370.718,48378.906,200
f2a55f7b-497d-413a-8ed1-6773cff1d39c,48378.906,48379.593,48388.609,200
64cf6fb8-bda6-456b-bb67-91d7ba19af1f,48388.625,48388.937,48398.375,200
cc0ebf7a-f75b-4b5c-ab1b-dd657eb1cf11,48398.375,48398.687,48408.125,200
1176c512-ac98-4b36-bbb1-6902add23436,48408.125,48408.437,48411.406,200
5ff9c40b-0231-4fad-9aee-61f697b8f67c,48324.578,48325.015,48333.875,200
0fe2a100-3eb9-4277-b4b9-2c6761f1f33c,48333.906,48334.343,48343.578,200
52e649f8-c857-4ce1-9b41-65f9d5b6be0f,48343.609,48344.062,48353.578,200
4f629e2b-dfa7-43c6-a4ab-47e660a4ff08,48353.609,48354.031,48363.296,200
8f61a608-2c47-4c2a-b6d2-c620169a94f0,48363.312,48363.64,48372.906,200
6ca77058-7b4c-412b-b1af-ddab8d087a6f,48372.921,48373.25,48382.765,200
d8eb2a10-07cd-41af-a46c-93eb65ec6ed7,48382.781,48383.093,48388.703,200
