id,start,first_token,end,status
b23e6eb7-4607-449f-a31a-ea9d9db40049,49070.015,49070.453,49079.203,200
231c7bf4-6040-4232-bdbf-50994ca98a68,49079.203,49079.531,49085.062,200
2bf3118b-6673-4c60-a7e9-fa7c08467edb,49085.062,49085.39,49094.359,200
e3f75ae3-807e-446c-a183-589fbe279410,49094.359,49094.656,49103.765,200
e9830cbb-dfd4-4b6d-b8aa-115480cc75a6,49103.765,49104.078,49113.437,200
4b8dfcce-63c6-43ae-8a5a-c47540323f6b,49113.437,49113.765,49115.765,200
f3588915-ed90-430d-bbe2-faf011e11370,49115.765,49116.187,49125.343,200
e7507dbe-0869-48b7-8012-17d36fbe805e,49125.343,49125.671,49134.953,200
183e0d84-9694-42d6-ac66-801a37b67dec,49134.953,49135.265,49144.546,200
2dcb2314-8c09-4f08-8956-4e614e86acdb,49144.546,49144.843,49153.937,200
63ce92e3-4cf0-43a8-a79d-e17039f90700,49070.015,49070.453,49079.203,200
aebbf86b-454a-4e93-acab-b4736d67ae69,49079.203,49079.531,49088.515,200
038bb485-19e3-4903-bc5d-bff4d0ce141a,49088.531,49088.875,49094.578,200
7adc7bda-cfc2-4719-ae4a-08b829104592,49094.593,49094.968,49104.078,200
4e9e5d14-cb4b-4b56-a31c-a07bf21669ea,49104.078,49104.39,49113.765,200
bb97da10-aeb8-4b06-87e6-518c1cfd2df6,49113.765,49114.062,49116.578,200
e07c43b9-d250-46d8-9579-98951f1819c0,49116.578,49116.906,49126.093,200
216fc595-8dfc-467d-a3cd-c3aef7a74343,49126.109,49126.453,49135.671,200
214547f8-6108-4bc0-a62a-6da2616a4597,49135.671,49136.015,49145.234,200
1fd590f7-4c6a-475f-b9fd-568ec3eedd13,49145.234,49145.546,49154.656,200
039f2dac-d073-4bef-bbca-e6db554de82b,49070.015,49070.453,49079.203,200
42512adf-a57f-45d4-a03c-b620f0453aae,49079.203,49079.531,49088.515,200
1386f8f7-015b-4faf-983a-018b8ad95c48,49088.531,49088.875,49098.046,200
9dbe312f-028f-4ca9-8cde-caa85110ddc4,49098.062,49098.531,49107.703,200
7ab0c042-e881-4013-a6e2-774a1be2f0ce,49107.718,49108.062,49117.625,200
7ee9cc2a-0880-4b64-bf36-83f049a9e770,49117.656,49118.0,49122.265,200
882c5f63-daa3-421b-8d5a-3b5680d48e7e,49122.265,49122.578,49132.0,200
b16a44be-ddc3-42d2-99b6-d8fb3ddc2455,49132.0,49132.375,49141.703,200
88882717-4e30-41be-b224-aaf2a250d51e,49141.703,49142.062,49146.718,200
17e86107-1e5f-4356-a5ee-51541f0f1e8e,49146.718,49147.031,49156.25,200
fe045a77-7c24-4d5c-a1a6-7d38c17c5ba7,49070.015,49070.453,49079.187,200
082b28e1-d889-4222-a9d7-28b81eb3cab5,49079.203,49079.531,49088.515,200
35d6a4d1-e4ad-48b0-8e60-9dc97e62ca93,49088.531,49088.859,49098.046,200
d3ec5eea-bf3b-4548-a463-9f7b8be0d195,49098.062,49098.328,49107.609,200
d94251b6-a527-497b-9b63-63e2659472ac,49107.609,49107.921,49117.437,200
3bf4838f-23f1-45b1-8750-ae09a8fc857c,49117.453,49117.734,49124.062,200
f6683773-7042-4532-af05-bf3c069ef013,49124.078,49124.453,49127.796,200
8e90813f-f168-4aea-a297-0835b8babe76,49127.812,49128.156,49137.546,200
ecefe707-087a-4335-a4fa-e1e5cb284723,49137.546,49137.843,49147.078,200
50c672b4-2364-4c42-9071-41127d513828,49147.078,49147.421,49156.656,200
a52364c2-6e7b-45ad-b922-ad8a775b59cb,49070.015,49070.453,49079.187,200
3ed605a8-a4b0-4885-b2e8-422046e971e2,49079.203,49079.531,49082.437,200
25bbe4d4-5f01-461e-8be4-123d80ee71af,49082.453,49082.796,49091.796,200
75f2432e-0340-4afc-ba53-c2d0982917ca,49091.796,49092.156,49101.296,200
0c0f08ba-84e2-4e7b-945d-01faf70610da,49101.312,49101.64,49108.531,200
997af822-03de-4e6b-81fc-8ab28bf755e5,49108.531,49108.875,49118.421,200
7e1bb33a-ae51-4859-a956-bd9714abc253,49118.421,49118.781,49128.203,200
1e9ef3db-b82d-4200-a4c9-b6717ec04f2e,49128.203,49128.515,49137.906,200
118ad9f8-450f-4a30-b938-e21190f3fd09,49137.906,49138.218,49147.078,200
e5694888-798e-4972-b160-888234680f37,49147.078,49147.421,49156.656,200
4e79b100-eebf-4038-855e-9678a0a37953,49070.015,49070.453,49073.171,200
e6b650aa-dc3b-43d1-aa0a-785f59091d89,49073.187,49073.5,49079.859,200
daf30f7d-3e9d-471e-b685-f2057f112410,49079.859,49080.14,49089.093,200
8e73c89d-e0d8-47ff-8f07-ce7d8bfebb19,49089.093,49089.375,49098.687,200
30e94b80-08ce-4261-8c5f-1ca23549f2e1,49098.687,49098.984,49108.187,200
334cdeb6-e058-4ec8-88c9-cb7f2c507673,49108.187,49108.531,49118.062,200
64d997c2-b45c-4745-b522-e1f91cf08ea1,49118.062,49118.421,49127.859,200
dbae9130-6daf-4a4f-82f7-9bafff4d39a9,49127.875,49128.203,49137.593,200
ad1e696a-d59c-4e0a-a321-556ff542ac69,49137.593,49137.906,49147.187,200
9e5a6036-1b6d-40bb-81c8-29bfb0e1f542,49147.187,49147.484,49156.718,200
da24e82e-1a96-480d-9bed-0d16246d6b36,49070.015,49070.453,49079.203,200
626dc826-d760-4581-a40c-f29765c9490d,49079.203,49079.531,49083.906,200
efe87155-dfd1-42d4-a2ba-fc8e4d415923,49083.906,49084.281,49092.828,200
1ce33fc0-64c2-4af1-9704-a8cdf4c9d21e,49092.843,49093.203,49099.437,200
c8b43575-4a5d-4342-b33b-f98c69b57c72,49099.437,49099.718,49108.937,200
fcc9890d-4bce-411c-a881-1b10887cccb6,49108.953,49109.234,49118.781,200
de209d4e-13fc-4efa-b8cb-ef73df14830e,49118.781,49119.14,49128.578,200
04cfd6cd-5f79-4086-86a3-1c7c9390f3a1,49128.578,49128.89,49138.296,200
39b2634a-f1c3-4492-aca7-633686f9c16d,49138.296,49138.625,49147.859,200
aa9a2caf-8a7a-4793-aef8-71589078eb5e,49147.859,49148.187,49157.453,200
999d6b60-1521-4760-8584-257093299386,49070.015,49070.453,49074.765,200
a9ad4ccd-5a2f-437c-b790-fc9a0a84e8f8,49074.796,49075.093,49083.75,200
affb60c8-4f2a-4e56-97ed-26168910dd7b,49083.75,49084.125,49093.14,200
b2ef7ad2-abbc-413d-9d14-cc339c73cb2d,49093.14,49093.515,49101.937,200
ae1f3c2e-266a-43cb-815f-8621b60fadab,49101.953,49102.296,49111.562,200
9e6cb58a-0646-4385-9eb9-76bcec4ea4ef,49111.562,49111.921,49121.312,200
824b1b08-d5ef-471d-9b3a-d7fb3e33e9fc,49121.312,49121.671,49131.14,200
c7e685ec-6b20-4ce6-8020-014bf0eb33ce,49131.14,49131.5,49140.859,200
a22c1e33-c693-46e0-8b3e-940ab44d9fdb,49140.875,49141.203,49148.046,200
110e211b-2bde-45a1-b46d-bfe40abf2674,49148.046,49148.375,49157.64,200
ddb6ea8a-0665-47b5-8b98-55eac50fcc89,49070.015,49070.343,49079.187,200
ebda9b5b-4c0c-431b-9a74-061ce1fcd3d7,49079.203,49079.531,49088.515,200
a8e4c1a5-3441-4c8a-bac1-dd78d6579a50,49088.531,49088.875,49090.171,200
03942124-8415-48d3-89a2-92213cb8a0bb,49090.187,49090.5,49099.734,200
0614e325-52dc-4c06-a63d-774c32a32bd7,49099.734,49100.031,49109.234,200
ddf31f4e-b720-48d7-9696-9c8b51dada7b,49109.265,49109.562,49119.078,200
ef91edb0-d2f2-41f1-ba21-a112e6f40ecd,49119.078,49119.453,49128.89,200
15d6c321-c7dc-4943-8b07-9a4693c4b263,49128.89,49129.218,49138.625,200
68433ab5-521e-480f-a8a7-d178895f9ced,49138.625,49138.937,49148.187,200
973c12ad-b378-4601-b34c-e580dbd33118,49148.187,49148.5,49157.781,200
b2e6326a-e933-4d13-a798-797639ee6189,49070.015,49070.453,49079.203,200
4a96fb62-7955-4253-8417-3e2a2f4fc5d1,49079.203,49079.531,49088.515,200
1912f111-d85d-4286-bdd9-78ccdc7c77b0,49088.531,49088.875,49098.046,200
b3b37894-968d-4dae-85f2-8ebe01d519cd,49098.062,49098.531,49107.703,200
d491d921-4dc0-4e34-9c25-c69d61d4afcb,49107.718,49108.062,49117.656,200
