id,start,first_token,end,status
19d5e762-5443-4dec-947e-d0394bfb04ba,47934.203,47934.609,47947.468,200
9be874cc-5f08-4f08-8376-cac5a4447b53,47947.484,47948.296,47983.625,200
47aff7e1-18e8-48ca-862b-114339e7186f,47983.625,47984.218,48020.89,200
9b3c51cf-71bf-4ca6-8f78-919d2035ffaa,48020.89,48021.5,48059.203,200
6b8cd6ae-3a25-41de-af24-463b7befa84f,48059.218,48059.921,48097.281,200
4cf7cc5f-c9ac-480c-9bbf-dae3d21d77d6,48097.296,48098.187,48136.031,200
de41454f-6c08-4c56-8652-14add3da428f,48136.046,48136.64,48143.14,200
82e562f7-f590-4c12-a572-301fac1e23e5,48143.156,48143.781,48181.406,200
5f43a64a-0c77-46a8-84b3-6ff405b252e9,48181.421,48182.031,48220.015,200
7b668e9c-c022-49ba-b97f-c45837c0527f,48220.015,48220.625,48237.187,200
98ea1a0c-4c69-41bc-af1d-0d69dcdb1b19,47934.203,47934.609,47970.656,200
4db5938b-5382-4f6c-8850-7c3bdb1e09ce,47970.718,47971.187,48007.234,200
63bc015a-4de4-455a-bc90-e60577a91e14,48007.265,48007.796,48027.406,200
942bc6b6-2409-47c8-98fc-51cfba91e0bb,48027.406,48028.046,48065.796,200
715123d2-24b0-44e9-ae45-174d69706750,48065.812,48066.406,48103.718,200
ac118a96-6c97-42b5-ba2c-fa98f44dd68b,48103.734,48104.343,48128.375,200
65ff9ee3-aa57-49a0-9629-a5f82092f359,48128.375,48128.953,48166.593,200
cef2af15-6160-44c6-b652-0d79bf8b402a,48166.593,48167.14,48204.843,200
f1df913d-d986-4d34-9371-0f44753be0c0,48204.843,48205.39,48229.265,200
9ef527eb-281c-412b-b495-ec23b46855aa,48229.281,48229.875,48249.843,200
02637204-973e-4a33-9004-02f5f723fd1e,47934.187,47934.609,47970.625,200
cbc50f43-23eb-409b-8b7d-cb92fdfaa444,47970.718,47971.187,48007.234,200
0e60f4bf-7ff8-477a-8f5d-843a5b2e2f42,48007.265,48007.796,48020.281,200
6ad6a0c1-e08f-40e2-be1e-e7033e2a3e03,48020.296,48020.89,48058.625,200
26d308fe-18a3-4583-8368-c6838a5ce631,48058.64,48059.218,48085.484,200
6c24b693-211d-493a-a41a-a8c66f4837ec,48085.5,48086.14,48096.671,200
976339cd-ac6f-4b66-a4ac-e8e912c43632,48096.671,48097.281,48135.14,200
49c44182-f514-4728-bee3-1151a80f5a47,48135.156,48135.718,48173.343,200
9d544811-97e3-422f-b2df-a5747f52a01c,48173.359,48173.953,48211.796,200
18fbabd0-a21e-4e2a-925d-dcaaca989743,48211.812,48212.437,48250.765,200
c16cacae-86d8-4036-960a-3f76e2c7d11a,47934.203,47934.609,47970.656,200
bad0c60b-1337-4f9f-8445-c3602dfd44d5,47970.703,47971.062,47985.39,200
e6f7f2ad-e858-4dd2-a9cd-95b2e0ce84d0,47985.406,47986.015,48022.687,200
a972cf93-27a8-4306-9b6c-9ac1a3f69dd4,48022.687,48023.343,48061.14,200
7e67767f-bc6f-41d5-8054-2d82fe47c4df,48061.156,48061.781,48069.906,200
2aa2bc92-49a7-4fb4-b445-a63e52f3fc8d,48069.921,48070.515,48107.781,200
f2ff6ecc-0c51-4173-917b-c1e1753a93d9,48107.781,48108.39,48146.281,200
612d2bf9-e330-457d-808f-cb04c8a6446e,48146.281,48146.89,48184.453,200
2ffbf1ee-e4f5-421a-a77f-92ae135a0312,48184.453,48185.062,48212.421,200
416f347d-d93e-48bc-8c73-8e4c85bf8e77,48212.437,48213.031,48251.39,200
07963161-a948-4a04-8d90-fe6576d3f44f,47934.203,47934.796,47970.843,200
91a732fe-5f99-403e-b119-0636cd4409f5,47970.953,47971.375,48007.484,200
51597a69-3b0e-4e1a-a145-214f4eab8530,48007.515,48007.984,48023.328,200
b0586a2e-36f3-4a65-8611-edcdccc4a807,48023.343,48023.953,48061.781,200
4fc40016-df3f-4c8a-9fb0-766079bd8cbd,48061.781,48062.39,48062.718,200
16fe7c6e-5014-40a6-bc50-8173f91bac26,48062.718,48063.343,48100.625,200
622d9af0-d522-426e-ad9e-bfd41f37fa8f,48100.64,48101.25,48139.093,200
8742a57b-bd73-48c5-bb9d-252e830602d4,48139.093,48139.718,48177.375,200
963310d0-8a3f-44dc-81a6-0dd9359d9616,48177.375,48178.0,48215.875,200
7a348dee-db72-4617-b44a-09963e461494,48215.875,48216.5,48255.234,200
a01738ed-64b1-4f18-8623-4653e5c6dbb7,47934.203,47934.796,47970.859,200
df551ac2-1bae-49b9-8534-e8951102dbcc,47970.937,47971.375,48007.484,200
1ac390c4-afab-4f50-8b02-805488b9fb63,48007.515,48007.984,48023.328,200
1107d09a-bab5-4059-a2eb-ff9dacaa839a,48023.343,48023.953,48061.781,200
c91221da-d200-4dce-a667-4ac80723b43c,48061.781,48062.39,48099.703,200
3737bbac-b624-46b0-8f2e-18e96a328866,48099.718,48100.312,48105.281,200
a7037d48-9e81-4806-a894-bea076bfde8a,48105.281,48105.906,48141.89,200
4381d8f8-5cdd-431d-b165-ea582a8ec780,48141.906,48142.515,48180.187,200
4221f222-2a20-4510-835d-e58059296057,48180.187,48180.796,48218.718,200
1ca64728-02a3-438c-abf0-b657355fac23,48218.75,48219.359,48255.656,200
e6d87ef3-6c61-437e-94c4-67994e98ba8b,47934.203,47934.796,47970.859,200
37b67481-7e67-43ab-a2b0-b96d43a936a8,47970.937,47971.39,47984.218,200
34c7c91b-84da-429d-87d6-9669bf065726,47984.218,47984.781,48021.484,200
2a027bba-8bbf-4667-be21-27bc5f3401fb,48021.5,48022.093,48042.296,200
8bebca06-3831-462e-9a3d-543e252d1baf,48042.296,48042.953,48068.984,200
78123e89-76df-4a33-9d9d-720d11cd9ece,48069.0,48069.609,48106.828,200
2d44620c-0292-4d9d-8856-26f6708b6541,48106.843,48107.453,48145.359,200
354b2c9a-16f6-4fb6-96f4-bd12d71c81ec,48145.359,48145.953,48183.546,200
45e946f1-80dd-4a0a-9a4f-b9bec1bf316d,48183.546,48184.14,48216.5,200
9f142d36-62cd-4b2b-b283-239c0a77f8c2,48216.515,48217.14,48255.968,200
17b56ab5-a1e5-4db0-8320-513e3bfe1635,47934.203,47934.609,47970.625,200
9356dea8-2cf0-4958-a806-142940a509c7,47970.734,47971.187,48007.234,200
43747f5c-7b4c-473b-8019-446455dda50e,48007.265,48007.796,48045.125,200
92fd2788-34b4-4daf-8bee-958947d8a0da,48045.156,48045.89,48083.031,200
230919d0-476a-4410-a14e-ee16523bb748,48083.062,48083.609,48120.921,200
67c23ad7-8544-43d6-8285-492d140a2625,48121.0,48121.531,48153.953,200
915c80f8-07fa-4834-9ee4-51ec32f1e6da,48153.968,48154.593,48183.234,200
53ad555f-6e5c-4057-997c-9acba696a073,48183.25,48183.859,48221.89,200
e83ec517-f884-43d3-a083-276f6d360a8a,48221.906,48222.531,48233.25,200
3d88b354-ded3-4406-b7fd-1174839235f6,48233.312,48233.875,48259.281,200
9d57df35-01b1-4266-a854-7723bbf82818,47934.203,47934.609,47970.625,200
e7528961-7f5c-4908-82a3-498208482e5b,47970.718,47971.187,48007.234,200
5dba3073-10f0-48bd-bb7a-4cd7cd498d71,48007.265,48007.796,48045.14,200
111c9fa2-c8a5-4243-9a21-3fcd09d64a8f,48045.156,48045.89,48055.64,200
ce4f0f71-a3d8-4719-98db-8a426ab50b6e,48055.64,48056.234,48093.703,200
d66c0860-ccdc-42cb-b5cf-757f2c6591dc,48093.703,48094.281,48132.14,200
aef50380-0a21-4ca5-a47c-99170a56d1e7,48132.171,48132.75,48158.484,200
2b0c9701-301d-4975-9ca4-832aa74f2e82,48158.5,48159.093,48196.281,200
1598778a-d163-4aa2-8046-f1094f35a3a6,48196.296,48196.875,48220.937,200
5c181ad1-a478-442e-b704-f840bdfd8caf,48220.968,48221.593,48260.64,200
42bfe2c1-34fd-4097-b0ff-5522f5650f4c,47934.187,47934.609,47970.64,200
33f5c53a-3669-4a96-ba40-c4a1ebed752f,47970.718,47971.187,48007.234,200
873eacc8-70c8-46ff-92e6-4135cda172ad,48007.265,48007.796,48045.125,200
86e80ead-c37f-4def-91fb-c4cb14ca4724,48045.156,48045.89,48046.109,200
b4625d0f-857c-4062-b22a-e71cee630579,48046.109,48046.703,48084.078,200
145eb051-0618-4182-a1db-3d5f091abf3a,48084.093,48084.671,48122.234,200
9f15088f-ac79-4dc4-a7d0-5357df4ff26e,48122.234,48122.89,48160.906,200
a3c931c8-cb64-4b08-b5fa-3cad4b02ea5a,48160.921,48161.562,48199.203,200
0e5541a3-c421-4749-a7b5-7fe156b63ab9,48199.218,48199.89,48223.437,200
8a180509-bfcf-47dc-b08c-f9da2f1fbbea,48223.453,48224.062,48263.312,200
b66b78fe-4929-4300-a195-270e88e9fa47,47934.187,47934.609,47970.625,200
7de7e630-876b-4269-990d-80915bf4e34d,47970.718,47971.062,47977.343,200
4395f362-cb62-4cb1-a5bd-526f409fe4a4,47977.359,47977.859,48014.39,200
c94620e6-03a9-4788-a392-5dd2d8dd0696,48014.39,48014.921,48052.531,200
ce7027e7-ea6c-4c2c-8814-715e5e83533c,48052.546,48053.093,48078.5,200
a3c511c6-bd81-4ea0-86eb-b4e8eb935939,48078.515,48079.14,48116.296,200
849090bb-364c-40ba-992f-ee4467a7bbc5,48116.296,48116.953,48155.015,200
53dfec3f-3605-4fd8-9b01-175c6b184fbe,48155.031,48155.64,48192.781,200
b2b3808d-e733-422e-b1d3-cc9dce4fefe6,48192.781,48193.421,48231.406,200
36fec90d-b088-48df-b7cb-82ddd67a2c7d,48231.406,48232.015,48263.296,200
b5637e1d-eaa7-4735-9658-cc312ccf4a29,47934.218,47934.812,47970.875,200
3f0d4f94-cc9d-490e-bd60-ae7b30863975,47970.953,47971.39,47988.796,200
a3e4900a-a705-4142-8ea8-f39df177ae9b,47988.812,47989.406,48026.171,200
7d92c949-df7e-44ac-a4d9-8466575fb69d,48026.171,48026.781,48064.578,200
0bd0dead-f4d2-4d47-abcb-5dc348401403,48064.578,48065.187,48094.265,200
3289336e-4f4c-447a-8756-0081827aca1b,48094.296,48094.89,48132.75,200
9bdb5034-247a-4929-8f24-ab35060d633c,48132.765,48133.343,48170.937,200
4bcefbec-bc2f-48e4-921d-3b17918fea55,48170.953,48171.531,48185.062,200
8ef26c86-aff0-4619-9897-e039c008a09d,48185.078,48185.687,48223.765,200
7ac8142d-c20e-4d21-8fd2-b3f4355d96ae,48223.765,48224.375,48263.625,200
4c2d7da8-9c7f-4fd5-bb99-1739cc32fd2a,47934.203,47934.796,47970.843,200
39faf246-6bce-4968-8d8c-30854ec2f5b4,47970.953,47971.39,48007.484,200
0969892f-b00d-4c46-9d69-cda592c39e32,48007.515,48008.0,48045.421,200
06372f8b-16e2-4569-84dd-63342be12756,48045.437,48045.89,48052.812,200
ec0375db-dbee-442a-aaea-42de86e95eb8,48052.828,48053.375,48090.843,200
c7a35dd2-4dc5-45db-ac97-dda5aafcb293,48090.859,48091.421,48129.234,200
0a983269-8ba4-491b-942d-9cbc69510e66,48129.234,48129.812,48167.437,200
eaf1d2c7-fa71-484c-911e-679869383e57,48167.437,48168.031,48185.375,200
ffba2099-cf1c-43df-b0c6-57ce53d9f602,48185.375,48185.984,48224.062,200
1f73c1ee-61f2-4ed0-88ab-4b6897e13ac5,48224.078,48224.687,48264.031,200
e940db75-152c-4679-a5b1-a9e77f00b57c,47934.218,47934.812,47956.718,200
6304b862-60de-4ffa-a492-9c1b49587710,47956.734,47957.375,47992.593,200
