id,start,first_token,end,status
c8eb0819-86db-4eca-bb4e-2597893e0fb3,49180.062,49180.515,49183.328,200
f0edad9c-d17f-44ad-a1b8-a20e42456660,49183.328,49183.765,49205.859,200
21bd5eae-60f8-4850-a5c5-02de69dbd259,49205.859,49206.281,49229.562,200
a6f82e1b-ec7a-4ec5-a37c-c44f04301c68,49229.562,49230.0,49252.843,200
5c74eff4-2929-4505-a3ac-6e3a193cfc87,49252.843,49253.312,49277.031,200
9c6b5b12-d594-4f5e-8f7b-c6463a13fe85,49277.031,49277.484,49283.968,200
5a08d4d5-2751-4731-a3cd-377239382b4d,49283.984,49284.531,49307.796,200
cd1c00ce-6b42-48f6-bf3f-71975944ddb1,49307.796,49308.359,49332.531,200
8bb2067c-c938-479a-bba5-1a612ec0faa9,49332.531,49333.109,49357.359,200
37172257-503d-42da-b087-01c4bd32ad4f,49357.359,49357.937,49382.109,200
532cf6e7-c3b9-4bf0-8fc9-6ec64db4aa89,49180.078,49180.515,49182.828,200
769eaebd-77c6-4fa8-877f-37a9533bb01e,49182.828,49183.328,49205.437,200
002afcf9-bf84-4856-ae8a-e42ec9fe164a,49205.437,49205.859,49229.14,200
080f1c3d-e755-4fd9-b09a-cee2063f1134,49229.14,49229.562,49252.375,200
ed424e54-2b11-4e98-8bc3-4fc3b04aa075,49252.375,49252.843,49275.875,200
a19e5b41-d026-4970-a216-0c8a697e3074,49275.89,49276.281,49299.375,200
218fc080-7185-40dd-bf5e-e0a0a0874d53,49299.39,49299.812,49323.765,200
3db12fae-963d-49d1-9ae8-beebc4785824,49323.765,49324.234,49348.453,200
4402392c-dd6a-4845-b487-f8f391538d27,49348.468,49348.921,49373.312,200
9cdbd1fe-1b38-470b-8092-5c3c7f28f3bb,49373.312,49373.812,49384.578,200
25b00038-85b0-4851-9bf8-298ef35c3dbb,49180.062,49180.515,49202.468,200
fbfc7df8-d8d8-4cdf-a543-9a4a88f92e2e,49202.515,49202.953,49226.453,200
15538987-8fc3-4f01-9190-7b9b1c4fd947,49226.5,49226.828,49232.562,200
2c2fa710-7cb1-4108-a057-e82fbed88d7d,49232.578,49233.062,49250.453,200
937f3651-d3b7-48f5-b1f8-9443a30f7cf1,49250.531,49250.984,49274.671,200
26f5daf8-b1a3-4d37-af5e-e0c6a7d2fe4e,49274.687,49275.078,49286.843,200
070493ff-b5b0-42b9-9ae8-961c2b173407,49286.843,49287.437,49310.687,200
e5277c3f-20de-4bfb-b297-47a6d4bd4edb,49310.703,49311.25,49335.453,200
f7a98cfa-9179-430d-81f9-53af74e6cba6,49335.453,49336.046,49360.312,200
c3393ad7-49ab-4970-ae57-39377713721e,49360.312,49360.875,49384.984,200
def05c79-f146-4927-a681-f2b34acfe0b9,49180.078,49180.515,49202.484,200
39b5a3e9-a281-4fe0-94d7-7a2205be79d8,49202.531,49202.953,49226.468,200
3600453e-4c5a-4176-8ee7-0d59207cee4e,49226.515,49226.953,49249.937,200
281ae54c-79ff-495f-bf95-056f9970aac8,49249.968,49250.484,49256.296,200
a30f1747-b381-44e8-ac49-d0ccf4ef7861,49256.296,49256.828,49264.359,200
43b3c089-01e5-4c73-a849-8bd0d78beabd,49264.359,49264.953,49288.203,200
b78048e4-c421-4731-93c4-c3cc44527ef0,49288.203,49288.812,49312.015,200
764504d4-c411-4370-9288-809000f658e1,49312.015,49312.593,49336.812,200
9b20cc23-656b-43e3-a999-3ca660c572ed,49336.828,49337.421,49361.64,200
