id,start,first_token,end,status
211e5fa3-dd46-4db0-89be-bbe097c237c3,47576.125,47576.562,47577.921,200
b8e34825-67da-46dc-ab21-64546962abb5,47577.921,47578.203,47581.828,200
dd948b01-d264-4859-a01e-d84761811796,47581.828,47582.14,47591.046,200
f1538498-0c38-47fa-91f5-9f1946a7a1c1,47591.046,47591.375,47600.671,200
b2719b23-fecb-42fe-9a76-65af301d699d,47600.671,47601.0,47610.062,200
e3b224f3-6c5c-42b1-bae2-f173118f8696,47610.062,47610.39,47619.687,200
e4a0586d-f091-4e8f-b631-94aa608dd8f7,47619.687,47620.062,47629.39,200
9fd7b2b2-1805-4c2c-921a-7e45fa5d0e3e,47629.39,47629.75,47638.828,200
5f908562-2522-4eca-ae61-9303cbbaec9a,47638.828,47639.187,47648.546,200
54a9b817-1c2e-4c88-a506-e9bbd7e04384,47648.546,47648.89,47658.281,200
7e72314b-0f44-4cce-8a4d-43c59078a1bc,47576.125,47576.562,47585.515,200
d780e38c-22a2-4c85-8f09-8f977e42b130,47585.546,47585.875,47595.156,200
91b9f576-1e6b-4185-b51c-b91ee1870852,47595.187,47595.515,47604.859,200
8c97756b-3681-4853-8ece-778ea7ad90a7,47604.906,47605.328,47614.437,200
b4b5cb49-21ca-4b8b-8163-4cd94aaca71f,47614.437,47614.875,47621.515,200
38187b35-c7fe-4208-9b73-5b6d9d45267b,47621.531,47621.859,47631.015,200
f5cb4eb3-9a6d-4cf6-b4d2-870e85ae7ff4,47631.015,47631.343,47634.5,200
80acbb13-7492-4020-b4f1-b090a49e5f6a,47634.515,47634.843,47644.218,200
c5140def-3698-4ed4-a52d-c4f7ba0d6ce4,47644.234,47644.531,47649.343,200
c3bf4304-81b3-4419-9c9e-7ac74ea7ec6b,47649.343,47649.703,47659.125,200
718928a7-4dd9-4438-9fa5-ec6a5ae4f847,47576.125,47576.562,47585.531,200
daf31817-3070-4d32-a8ac-a1f3154b6300,47585.546,47585.875,47589.281,200
2110c099-154f-44bd-b263-306e6ccd88aa,47589.281,47589.593,47597.015,200
597df5d4-b7e3-4e8a-9458-2241acef1e83,47597.015,47597.328,47603.265,200
0c4c16f2-662c-4d33-819c-60f8005dd6a6,47603.265,47603.625,47612.5,200
05fb7946-e5b2-48ef-b323-9891dea5d91f,47612.515,47612.843,47622.109,200
561f51a7-58a0-4af3-9cf0-ef3bdc3e7f2e,47622.109,47622.437,47631.562,200
7ddafa57-5341-45c4-96e8-750894787f9e,47631.562,47631.875,47640.953,200
476191a3-04bc-4e16-b819-0df6392bd265,47640.968,47641.296,47650.546,200
0df38c95-0865-440f-827c-1a11967d28a2,47650.546,47650.875,47660.265,200
4e3be23c-498d-42dc-8de4-a6e42fd14c52,47576.125,47576.562,47585.531,200
eb4e0f75-68cc-4864-b465-977e8fcbfe44,47585.546,47585.875,47595.156,200
d391d8ff-1c40-46bb-bd36-22a145dd3b3d,47595.187,47595.515,47604.89,200
f655e9d8-4d2f-4e40-9edc-fa3bc3aed1d5,47604.906,47605.328,47609.703,200
47ff145d-3b21-4d85-bcb2-d4c6759a8aff,47609.718,47610.062,47619.375,200
d8d8701c-4f96-411c-bf11-d97ce389b6af,47619.375,47619.687,47629.015,200
83924f87-3379-407f-8dc9-d3524f820a62,47629.031,47629.39,47638.453,200
481ac6b0-67c4-48a3-b18a-f02aca736148,47638.453,47638.828,47642.031,200
3ac23b0c-6093-4971-a34d-2e881b00c4c2,47642.031,47642.375,47651.593,200
481d9122-1ccd-4559-8179-79eb27117deb,47651.593,47651.921,47661.343,200
fcba3af7-10ee-4cd8-bc09-d783e4f6e3c2,47576.125,47576.562,47585.515,200
945e2010-a943-4f33-b2c7-690ade624046,47585.531,47585.875,47595.171,200
d88b456a-0474-438d-99d8-85c4cc1ceb95,47595.187,47595.515,47604.875,200
